"TIME","NOTIFIED_COMM_UNLINKED","NOTIFIED_COMM_LINKED"
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,1
33,0,1
34,5,2
35,1,3
36,1,0
37,2,2
38,3,2
39,0,0
40,1,0
41,0,2
42,0,7
43,1,9
44,2,2
45,0,5
46,0,4
47,0,0
48,0,2
49,0,3
50,1,1
51,0,0
52,0,0
53,1,1
54,0,1
55,1,1
56,1,0
57,0,4
58,0,5
59,0,5
60,0,2
61,0,1
62,0,2
63,0,1
64,0,8
65,2,7
66,1,9
67,0,6
68,1,7
69,0,7
70,0,4
71,0,2
72,1,4
73,1,3
74,0,4
75,0,11
76,3,4
77,4,1
78,6,5
79,3,4
80,4,3
81,2,0
82,6,5
83,7,8
84,6,22
85,5,32
86,9,14
87,9,16
88,6,22
89,6,20
90,8,23
91,21,30
92,8,78
93,17,32
94,14,45
95,27,67
96,13,53
97,14,46
98,14,35
99,18,35
100,18,35
101,21,24
102,17,25
103,16,38
104,17,27
105,18,28
106,16,23
107,14,35
108,21,17
109,11,10
110,12,10
111,15,12
112,13,19
113,17,18
114,8,7
115,14,17
116,6,6
117,6,9
118,4,18
119,6,6
120,5,12
121,5,3
122,5,6
123,6,5
124,4,2
125,1,5
126,9,3
127,3,4
128,4,6
129,2,3
130,1,2
131,0,1
132,1,1
133,1,1
134,1,1
135,0,2
136,1,3
137,1,2
138,3,5
139,0,5
140,1,1
141,3,4
142,0,3
143,4,3
144,2,3
145,2,3
146,1,0
147,1,0
148,2,2
149,1,1
150,3,7
151,3,17
152,1,2
153,1,0
154,1,2
155,0,7
156,2,2
157,9,2
158,6,0
159,2,3
160,3,1
161,4,5
162,1,0
163,0,1
164,2,2
165,3,5
166,1,3
167,3,1
168,1,0
169,1,3
170,1,1
171,0,0
172,2,1
173,2,5
174,3,0
175,2,5
176,3,5
177,0,8
178,4,1
179,3,3
180,7,4
181,4,1
182,3,2
183,4,5
184,1,9
185,4,7
186,4,5
187,6,7
188,4,12
189,16,9
190,8,3
191,6,10
192,11,6
193,4,5
194,6,0
195,1,2
196,10,8
197,7,5
198,6,4
199,3,3
200,3,1
201,3,3
202,2,1
203,1,4
204,4,1
205,4,3
206,2,1
207,0,1
208,1,1
209,0,0
210,0,0
211,1,4
212,1,0
213,2,2
214,0,0
215,0,0
216,0,0
217,0,1
218,2,0
219,2,0
220,1,1
221,0,0
222,1,6
223,0,0
224,0,0
225,0,3
226,1,3
227,0,2
228,0,1
229,0,0
230,0,0
231,0,1
232,0,2
233,3,2
234,1,2
235,1,0
236,0,0
237,0,0
238,0,0
239,0,2
240,1,7
241,1,1
242,1,0
243,3,1
244,1,0
245,2,0
246,0,1
247,1,0
248,2,0
249,1,0
250,1,3
251,1,0
252,0,0
253,2,2
254,0,0
255,0,1
256,0,0
257,0,1
258,0,1
259,0,1
260,1,1
261,0,0
262,1,0
263,1,0
264,1,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,1,0
271,0,4
272,0,1
273,2,1
274,0,0
275,0,0
276,0,3
277,2,3
278,0,0
279,1,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,1,0
290,1,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,2,0
298,0,0
299,0,0
300,1,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,1,1
308,1,0
309,1,0
310,0,0
311,0,0
312,0,0
313,0,0
314,1,0
315,1,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,1
328,0,0
329,0,0
330,1,0
331,0,0
332,2,0
333,0,0
334,2,0
335,1,0
336,1,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,1,0
346,0,0
347,0,0
348,0,0
349,1,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,1,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,1,0
363,0,0
364,1,3
365,1,2
366,0,1
367,1,0
