"DAY_SINCE_ARRIVAL","PROB_ISOLATE_DAY_SINCE_ARRIVAL"
0,0.0477064220183486
1,0.115596330275229
2,0.128440366972477
3,0.126605504587156
4,0.0788990825688073
5,0.073394495412844
6,0.0660550458715596
7,0.0532110091743119
8,0.0568807339449541
9,0.0311926605504587
10,0.055045871559633
11,0.0440366972477064
12,0.0348623853211009
13,0.0201834862385321
14,0.0055045871559633
15,0.018348623853211
16,0.00917431192660551
17,0.0018348623853211
18,0.0110091743119266
19,0.0073394495412844
20,0.0055045871559633
21,0.00917431192660551
